claim_id,policy_id,line_of_business,industry_segment,state,loss_date,report_date,report_lag_days,cause_of_loss,claim_status,paid_loss,case_reserve,alae,incurred_loss,incurred_loss_alae
CLM-000001,POL-000001,Professional Liability,Healthcare Services,NC,2025-05-01,2025-08-02,93,Failure to Deliver,Open,8306.51,23222.67,2032.04,31529.18,33561.22
CLM-000002,POL-000005,Professional Liability,Healthcare Services,AZ,2024-09-17,2024-09-17,0,Breach of Duty,Closed,507446.44,0.0,29660.3,507446.44,537106.74
CLM-000003,POL-000011,General Liability,Real Estate,AZ,2024-07-22,2024-11-12,113,Products Liability,Closed,20649.15,0.0,3778.02,20649.15,24427.17
CLM-000004,POL-000015,BOP,Real Estate,GA,2026-05-27,2026-06-23,27,Theft/Burglary,Open,3335.86,7095.32,2190.16,10431.18,12621.34
CLM-000005,POL-000022,BOP,Real Estate,FL,2024-07-09,2024-07-30,21,Wind/Hail,Closed,31946.95,0.0,5784.05,31946.95,37731.0
CLM-000006,POL-000026,BOP,Light Manufacturing,NC,2026-02-16,2026-03-01,13,Wind/Hail,Open,7143.58,16928.03,4220.85,24071.61,28292.46
CLM-000007,POL-000039,BOP,Contractors,NY,2024-11-05,2024-11-15,10,Fire,Closed,6354.79,0.0,547.88,6354.79,6902.67
CLM-000008,POL-000046,BOP,Restaurants & Food Service,OH,2024-03-23,2024-05-17,55,Business Interruption,Closed,6269.7,0.0,437.78,6269.7,6707.48
CLM-000009,POL-000049,BOP,Restaurants & Food Service,GA,2025-02-19,2025-03-03,12,Business Interruption,Closed,10057.03,0.0,481.27,10057.03,10538.3
CLM-000010,POL-000051,BOP,Restaurants & Food Service,NC,2024-11-16,2024-12-03,17,Wind/Hail,Closed,9180.06,0.0,1479.18,9180.06,10659.24
CLM-000011,POL-000056,General Liability,Healthcare Services,IL,2025-06-09,2025-08-06,58,Products Liability,Open,56122.97,62954.23,20046.65,119077.2,139123.85
CLM-000012,POL-000064,BOP,Restaurants & Food Service,NC,2024-10-23,2024-12-30,68,Business Interruption,Closed,10079.13,0.0,1855.42,10079.13,11934.55
CLM-000013,POL-000070,General Liability,Restaurants & Food Service,IL,2025-08-11,2026-01-19,161,Property Damage - 3rd Party,Open,7241.25,5953.46,1674.09,13194.71,14868.8
CLM-000014,POL-000070,General Liability,Restaurants & Food Service,IL,2025-02-28,2025-03-28,28,Slip & Fall,Open,11596.74,14405.28,1334.31,26002.02,27336.33
CLM-000015,POL-000093,BOP,Professional Services,GA,2024-09-04,2024-09-20,16,Theft/Burglary,Closed,5534.35,0.0,865.5,5534.35,6399.85
CLM-000016,POL-000103,Professional Liability,Healthcare Services,OH,2024-08-21,2024-11-15,86,Breach of Duty,Closed,18048.71,0.0,730.41,18048.71,18779.12
CLM-000017,POL-000115,General Liability,Restaurants & Food Service,IL,2025-08-18,2025-11-27,101,Personal & Advertising Injury,Open,22210.88,23848.14,3245.89,46059.02,49304.91
CLM-000018,POL-000115,General Liability,Restaurants & Food Service,IL,2025-07-09,2025-08-13,35,Slip & Fall,Closed,53991.25,0.0,8595.08,53991.25,62586.33
CLM-000019,POL-000125,BOP,Professional Services,IL,2025-02-21,2025-02-26,5,Wind/Hail,Closed,3621.82,0.0,596.82,3621.82,4218.64
CLM-000020,POL-000137,General Liability,Contractors,CA,2023-09-26,2024-09-12,352,Products Liability,Open,811.55,12700.11,1720.32,13511.66,15231.98
CLM-000021,POL-000147,BOP,Healthcare Services,AZ,2025-09-14,2025-09-17,3,Water Damage,Closed,15216.41,0.0,764.11,15216.41,15980.52
CLM-000022,POL-000161,General Liability,Contractors,TX,2024-11-14,2024-12-08,24,Slip & Fall,Closed,22359.32,0.0,3863.75,22359.32,26223.07
CLM-000023,POL-000163,General Liability,Retail,WA,2025-01-15,2025-03-14,58,Slip & Fall,Closed - No Pay,0.0,0.0,0.0,0.0,0.0
CLM-000024,POL-000173,BOP,Retail,TX,2025-06-05,2025-07-07,32,Slip & Fall,Open,1198.93,1283.66,507.16,2482.59,2989.75
CLM-000025,POL-000182,Professional Liability,Healthcare Services,TX,2024-12-07,2025-04-20,134,Misrepresentation,Open,3404.87,4971.85,793.53,8376.72,9170.25
CLM-000026,POL-000188,BOP,Professional Services,TX,2025-03-09,2025-03-28,19,Theft/Burglary,Closed,1273.68,0.0,174.57,1273.68,1448.25
CLM-000027,POL-000195,General Liability,Contractors,WA,2025-04-21,2025-04-29,8,Slip & Fall,Open,11915.64,15041.02,3959.71,26956.66,30916.37
CLM-000028,POL-000196,BOP,Retail,AZ,2025-03-22,2025-03-22,0,Water Damage,Open,18531.11,22510.59,5771.57,41041.7,46813.27
CLM-000029,POL-000201,General Liability,Contractors,CA,2024-09-29,2025-04-30,213,Products Liability,Closed,62195.03,0.0,10597.16,62195.03,72792.19
CLM-000030,POL-000201,General Liability,Contractors,CA,2024-07-31,2024-08-02,2,Completed Operations,Closed,20071.03,0.0,3336.61,20071.03,23407.64
CLM-000031,POL-000213,BOP,Light Manufacturing,IL,2024-04-11,2024-05-22,41,Theft/Burglary,Closed - No Pay,0.0,0.0,0.0,0.0,0.0
CLM-000032,POL-000220,Professional Liability,Professional Services,NY,2024-06-21,2024-11-23,155,Negligent Act,Open,12048.26,47888.24,2757.64,59936.5,62694.14
CLM-000033,POL-000222,Professional Liability,Professional Services,NY,2025-08-27,2026-01-12,138,Breach of Duty,Open,2100.11,20616.6,2208.5,22716.71,24925.21
CLM-000034,POL-000241,BOP,Restaurants & Food Service,GA,2025-10-10,2025-10-23,13,Wind/Hail,Closed,2039.79,0.0,190.65,2039.79,2230.44
CLM-000035,POL-000256,BOP,Light Manufacturing,GA,2023-08-26,2023-08-29,3,Wind/Hail,Open,5432.79,8285.18,1130.26,13717.97,14848.23
CLM-000036,POL-000269,BOP,Healthcare Services,OH,2026-04-13,2026-04-23,10,Fire,Open,1710.23,16903.01,2164.67,18613.24,20777.91
CLM-000037,POL-000269,BOP,Healthcare Services,OH,2026-03-29,2026-04-01,3,Wind/Hail,Open,2172.13,4008.34,1285.29,6180.47,7465.76
CLM-000038,POL-000272,General Liability,Contractors,IL,2023-07-14,2023-11-10,119,Slip & Fall,Closed,5734.43,0.0,693.85,5734.43,6428.28
CLM-000039,POL-000272,General Liability,Contractors,IL,2024-05-23,2024-05-28,5,Completed Operations,Closed,12797.84,0.0,1243.92,12797.84,14041.76
CLM-000040,POL-000274,General Liability,Contractors,IL,2026-01-02,2026-06-01,150,Slip & Fall,Open,908.56,1246.02,274.44,2154.58,2429.02
CLM-000041,POL-000275,BOP,Real Estate,WA,2026-05-14,2026-06-11,28,Water Damage,Open,40560.28,95710.56,9598.36,136270.84,145869.2
CLM-000042,POL-000292,General Liability,Retail,WA,2025-11-26,2026-01-09,44,Property Damage - 3rd Party,Open,1781.99,8479.77,821.09,10261.76,11082.85
CLM-000043,POL-000310,General Liability,Retail,GA,2023-10-25,2023-12-18,54,Completed Operations,Open,4719.93,4715.6,1558.43,9435.53,10993.96
CLM-000044,POL-000318,BOP,Contractors,OH,2023-12-29,2024-02-17,50,Slip & Fall,Closed,3523.02,0.0,305.96,3523.02,3828.98
CLM-000045,POL-000319,BOP,Contractors,OH,2025-05-24,2025-05-28,4,Water Damage,Open,22937.14,38404.24,6035.67,61341.38,67377.05
CLM-000046,POL-000326,BOP,Contractors,OH,2025-09-25,2025-10-05,10,Wind/Hail,Closed,94554.43,0.0,19878.51,94554.43,114432.94
CLM-000047,POL-000333,General Liability,Light Manufacturing,CA,2025-08-26,2026-05-08,255,Personal & Advertising Injury,Open,10491.16,10444.98,1654.37,20936.14,22590.51
CLM-000048,POL-000333,General Liability,Light Manufacturing,CA,2026-03-10,2026-03-27,17,Completed Operations,Closed,15446.88,0.0,3240.17,15446.88,18687.05
CLM-000049,POL-000336,General Liability,Contractors,AZ,2025-05-19,2025-10-10,144,Personal & Advertising Injury,Open,79491.99,105510.97,21617.41,185002.96,206620.37
