policy_id,account_id,line_of_business,industry_segment,state,producer_code,hazard_grade,term_number,new_or_renewal,effective_date,expiration_date,written_premium,rate_change_pct,earned_fraction,earned_premium,unearned_premium,earned_exposure
POL-000001,ACCT-00001,Professional Liability,Healthcare Services,NC,AGY-006,1,1,New,2025-02-03,2026-02-03,2106.44,0.0,1.0,2106.44,0.0,1.0
POL-000002,ACCT-00001,Professional Liability,Healthcare Services,NC,AGY-006,1,2,Renewal,2026-02-03,2027-02-03,2161.26,0.026,0.4027,870.43,1290.83,0.4027
POL-000003,ACCT-00002,General Liability,Restaurants & Food Service,NC,AGY-047,3,1,New,2024-12-06,2025-12-06,23774.53,0.0,1.0,23774.53,0.0,1.0
POL-000004,ACCT-00002,General Liability,Restaurants & Food Service,NC,AGY-047,3,2,Renewal,2025-12-06,2026-12-06,26083.64,0.0971,0.5644,14721.18,11362.46,0.5644
POL-000005,ACCT-00003,Professional Liability,Healthcare Services,AZ,AGY-043,2,1,New,2024-01-24,2025-01-24,22764.0,0.0,1.0,22764.0,0.0,1.0
POL-000006,ACCT-00003,Professional Liability,Healthcare Services,AZ,AGY-043,2,2,Renewal,2025-01-24,2026-01-24,23307.42,0.0239,1.0,23307.42,0.0,1.0
POL-000007,ACCT-00003,Professional Liability,Healthcare Services,AZ,AGY-043,2,3,Renewal,2026-01-24,2027-01-24,24867.31,0.0669,0.4301,10696.35,14170.96,0.4301
POL-000008,ACCT-00004,General Liability,Real Estate,WA,AGY-025,3,1,New,2023-12-24,2024-12-24,7637.34,0.0,1.0,7637.34,0.0,1.0
POL-000009,ACCT-00004,General Liability,Real Estate,WA,AGY-025,3,2,Renewal,2024-12-24,2025-12-24,7928.8,0.0382,1.0,7928.8,0.0,1.0
POL-000010,ACCT-00004,General Liability,Real Estate,WA,AGY-025,3,3,Renewal,2025-12-24,2026-12-24,7893.37,-0.0045,0.5151,4065.63,3827.74,0.5151
POL-000011,ACCT-00005,General Liability,Real Estate,AZ,AGY-006,2,1,New,2023-12-09,2024-12-09,8472.56,0.0,1.0,8472.56,0.0,1.0
POL-000012,ACCT-00005,General Liability,Real Estate,AZ,AGY-006,2,2,Renewal,2024-12-09,2025-12-09,8965.0,0.0581,1.0,8965.0,0.0,1.0
POL-000013,ACCT-00005,General Liability,Real Estate,AZ,AGY-006,2,3,Renewal,2025-12-09,2026-12-09,9488.69,0.0584,0.5562,5277.27,4211.42,0.5562
POL-000014,ACCT-00006,BOP,Real Estate,GA,AGY-029,2,1,New,2025-02-11,2026-02-11,4026.09,0.0,1.0,4026.09,0.0,1.0
POL-000015,ACCT-00006,BOP,Real Estate,GA,AGY-029,2,2,Renewal,2026-02-11,2027-02-11,4140.8,0.0285,0.3808,1576.91,2563.89,0.3808
POL-000016,ACCT-00007,General Liability,Retail,NY,AGY-005,3,1,New,2025-04-18,2026-04-18,12859.69,0.0,1.0,12859.69,0.0,1.0
POL-000017,ACCT-00007,General Liability,Retail,NY,AGY-005,3,2,Renewal,2026-04-18,2027-04-18,14050.51,0.0926,0.2,2810.1,11240.41,0.2
POL-000018,ACCT-00008,General Liability,Contractors,CA,AGY-060,2,1,New,2025-07-24,2026-07-24,8854.73,0.0,0.9342,8272.5,582.23,0.9342
